dataset,attack,layer,acc_clean,acc_adv,acc_drop,evasion,f1_before,f1_after,tpr_before,tpr_after,fpr_before,fpr_after,auc_before,auc_after,ap_before,ap_after,f1_drop,auc_drop,precision_drop,recall_drop,drop_severity,l2_mean,l2_max,linf_mean,linf_max,pct_unchanged,n_truly_fooled,n_pred_changed,pct_pred_changed,pct_truly_fooled
cicids2017,PGD  ε=0.01,siem,0.9558,0.9906,-0.0348,0.0,0.9427,0.9904,0.8987,0.9787,0.0053,0.0011,1.0,1.0,1.0,0.9985,-0.0477,0.0,-0.0182,-0.0348,LOW,0.08838846534490585,0.08941492438316345,0.009996907785534859,0.009998992085456848,0.0,21,1038,0.0365,0.0007
cicids2017,PGD  ε=0.01,soar,0.9844,0.99,-0.0056,0.0,0.9842,0.99,0.9554,0.9729,0.0034,0.0022,1.0,1.0,1.0,0.9999,-0.0058,0.0,-0.0041,-0.0056,LOW,0.08833636343479156,0.08936214447021484,0.009991025552153587,0.009993106126785278,0.0,27,212,0.0075,0.001
cicids2017,PGD  ε=0.05,ingestion,0.9557,0.9187,0.037,0.0447,0.9424,0.914,0.8983,0.8536,0.0053,0.0103,1.0,0.9976,1.0,0.9583,0.0284,0.0024,0.0354,0.037,HIGH,0.4399508535861969,0.44695743918418884,0.049971356987953186,0.04997437074780464,0.0,1873,2860,0.1007,0.0659
cicids2017,PGD  ε=0.05,triage,0.9999,0.9492,0.0507,0.1067,0.9999,0.9461,0.9998,0.8931,0.0,0.0158,1.0,0.9984,1.0,0.9788,0.0538,0.0016,0.0445,0.0507,HIGH,0.4396330714225769,0.446634978055954,0.04993531480431557,0.04993829131126404,0.0,1442,1444,0.0508,0.0508
cicids2017,PGD  ε=0.05,detection,0.9997,0.9649,0.0348,0.1014,0.9997,0.9646,0.9993,0.8979,0.0,0.0036,1.0,0.9993,1.0,0.9268,0.0351,0.0007,0.033,0.0348,HIGH,0.4402032494544983,0.4472137987613678,0.050000034272670746,0.0500030517578125,0.0,987,987,0.0347,0.0347
cicids2017,PGD  ε=0.05,siem,0.9558,0.9206,0.0352,0.0424,0.9427,0.9165,0.8987,0.8563,0.0053,0.0103,1.0,0.9975,1.0,0.9583,0.0262,0.0025,0.0339,0.0352,HIGH,0.44006475806236267,0.44707348942756653,0.04998435452580452,0.04998779296875,0.0,1842,2826,0.0995,0.0648
cicids2017,PGD  ε=0.05,soar,0.9844,0.9281,0.0563,0.1371,0.9842,0.9148,0.9554,0.8183,0.0034,0.0178,1.0,0.999,1.0,0.9951,0.0694,0.001,0.0453,0.0563,HIGH,0.4398057758808136,0.446810245513916,0.04995490610599518,0.04995790123939514,0.0,1772,1943,0.0684,0.0624
cicids2017,PGD  ε=0.10,ingestion,0.9557,0.8992,0.0565,0.1016,0.9424,0.8873,0.8983,0.7967,0.0053,0.0131,1.0,0.9974,1.0,0.941,0.0551,0.0026,0.0492,0.0565,HIGH,0.8768913745880127,0.8939147591590881,0.09994268417358398,0.099945068359375,0.0,2299,3221,0.1134,0.0809
cicids2017,PGD  ε=0.10,triage,0.9999,0.9221,0.0778,0.1629,0.9999,0.9125,0.9998,0.8369,0.0,0.0241,1.0,0.9968,1.0,0.9585,0.0874,0.0032,0.0716,0.0778,HIGH,0.8762580156326294,0.8932690620422363,0.09987051039934158,0.09987092018127441,0.0,2213,2215,0.078,0.0779
cicids2017,PGD  ε=0.10,detection,0.9997,0.8344,0.1653,0.4621,0.9997,0.8291,0.9993,0.5372,0.0,0.0172,1.0,0.9942,1.0,0.6216,0.1706,0.0058,0.1549,0.1653,CRITICAL,0.8773943781852722,0.8944274187088013,0.10000002384185791,0.10000038146972656,0.0,4695,4695,0.1653,0.1653
cicids2017,PGD  ε=0.10,siem,0.9558,0.891,0.0648,0.1089,0.9427,0.8759,0.8987,0.7898,0.0053,0.015,1.0,0.9972,1.0,0.9428,0.0668,0.0028,0.055,0.0648,HIGH,0.8771185278892517,0.8941463232040405,0.09996861964464188,0.09996896982192993,0.0,2562,3488,0.1228,0.0902
cicids2017,PGD  ε=0.10,soar,0.9844,0.9131,0.0713,0.1715,0.9842,0.8926,0.9554,0.7839,0.0034,0.0215,1.0,0.998,1.0,0.9864,0.0916,0.002,0.0562,0.0713,HIGH,0.8766019940376282,0.8936203122138977,0.09990978240966797,0.09991073608398438,0.0,2191,2355,0.0829,0.0771
cicids2017,PGD  ε=0.20,ingestion,0.9557,0.8217,0.134,0.289,0.9424,0.8029,0.8983,0.6093,0.0053,0.0235,1.0,0.9934,1.0,0.7941,0.1395,0.0066,0.1206,0.134,CRITICAL,1.7430366277694702,1.7878292798995972,0.19988536834716797,0.19988632202148438,0.0,4192,4764,0.1677,0.1476
cicids2017,PGD  ε=0.20,triage,0.9999,0.8806,0.1193,0.2407,0.9999,0.8622,0.9998,0.7591,0.0,0.0366,1.0,0.9899,1.0,0.8842,0.1377,0.0101,0.1186,0.1193,CRITICAL,1.741777777671814,1.786538004875183,0.19974097609519958,0.19974170625209808,0.0,3392,3394,0.1195,0.1194
cicids2017,PGD  ε=0.20,detection,0.9997,0.7008,0.2989,0.7311,0.9997,0.7027,0.9993,0.2682,0.0,0.0319,1.0,0.9805,1.0,0.423,0.297,0.0195,0.2911,0.2989,CRITICAL,1.7440364360809326,1.788854718208313,0.20000004768371582,0.20000076293945312,0.0,8491,8491,0.2989,0.2989
cicids2017,PGD  ε=0.20,siem,0.9558,0.8248,0.131,0.2724,0.9427,0.8062,0.8987,0.6263,0.0053,0.0233,1.0,0.9936,1.0,0.8141,0.1365,0.0064,0.1147,0.131,CRITICAL,1.7434883117675781,1.7882927656173706,0.1999371349811554,0.1999378800392151,0.0,4116,4698,0.1654,0.1449
